"Index","Open","High","Low","Close","Volume"
1970-01-02,994.8,1002.6,994.8,999.2,2908
1970-01-03,999.1,1000.9,998.1,998.4,2018
1970-01-04,999.6,1001.6,999.1,1001.2,2231
1970-01-05,1002.6,1003.1,998.7,998.8,2846
1970-01-06,998.6,1000.5,998.1,999.9,1346
1970-01-07,999.1,1001.1,998.9,1000.9,1419
1970-01-08,1001.5,1001.5,998.8,999,1500
1970-01-09,998.6,999.6,997.3,999.2,1627
1970-01-10,1000.1,1001.1,1000.1,1000.3,1700
1970-01-11,1001.1,1002.1,1000.5,1001.9,1435
1970-01-12,1002.6,1003.5,1001.1,1001.5,1362
1970-01-13,1001.6,1002.6,1000.9,1001.4,1678
1970-01-14,1001.4,1001.8,1000.6,1001.7,786
1970-01-15,1001.1,1001.3,999.2,999.3,1492
1970-01-16,999.3,1000.6,999.1,1000.5,1205
1970-01-17,997.1,997.1,993.1,993.5,3430
1970-01-18,994.6,996.6,993.8,994.8,1695
1970-01-19,995.1,997.1,994.7,996.8,1258
1970-01-20,996.4,998,996.1,997.7,1217
1970-01-21,998.1,998.6,997.6,998.5,953
1970-01-22,1000,1001.1,999.1,1000.9,1066
1970-01-23,1001.6,1002.5,1000.1,1000.5,907
1970-01-24,1000.1,1001.6,999.7,1001.5,847
1970-01-25,1001.4,1002.6,1000.7,1000.8,1390
1970-01-26,1000.6,1001.1,999.9,1000.4,733
1970-01-27,1000.1,1001.4,999.6,1001,1847
1970-01-28,1001.1,1002,999.7,999.8,2038
1970-01-29,999.6,1000.5,999.1,1000,1050
1970-01-30,1000.1,1001,999.9,1000.9,828
1970-01-31,1001.6,1003.1,1001.1,1001.7,1492
1970-02-01,1002.1,1005.1,1002.1,1004.8,1233
1970-02-02,1003.9,1005.1,1003.1,1003.7,1326
1970-02-03,1003.6,1004.9,1002.6,1002.7,868
1970-02-04,1002.6,1002.6,1001.1,1001.9,995
1970-02-05,1002,1002.1,1000.1,1001.5,1041
1970-02-06,1001.2,1001.6,1000.1,1000.3,1468
1970-02-07,1001.1,1002,999.7,999.8,959
1970-02-08,1000,1000,998.6,998.7,1055
1970-02-09,998.5,998.6,997,997,1699
1970-02-10,997.3,998.3,996.5,998,1301
1970-02-11,997.5,998.8,997.2,998.4,2164
